Title,Star Rating,Rating Number,Reviews,Configuration,Original Price,Discount %,Discounted Price
Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,4.5,"9,298 Ratings ", 807 Reviews,"Intel Core i5 Processor (13th Gen)
8 GB LPDDR4X RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories","₹78,189",38% off,"₹47,990"
Samsung Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,4.5,"4,844 Ratings ", 526 Reviews,"Intel Core i3 Processor (13th Gen)
8 GB LPDDR4X RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Onsite Warranty","₹57,499",35% off,"₹36,990"
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,3.7,859 Ratings , 92 Reviews,"Intel Celeron Dual Core Processor
8 GB DDR4 RAM
64 bit Windows 11 Home Operating System
256 GB SSD
29.46 cm (11.6 inch) Display
1 Year Warranty","₹33,399",52% off,"₹15,990"
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,3.9,"1,571 Ratings ", 169 Reviews,"Intel Celeron Dual Core Processor
8 GB DDR4 RAM
64 bit Windows 11 Home Operating System
128 GB SSD
29.46 cm (11.6 inch) Display
1 Year Warranty","₹32,990",54% off,"₹14,870"
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 82W00004HA Ch...,3.9,376 Ratings , 35 Reviews,"MediaTek Kompanio 520 Processor
4 GB LPDDR4X RAM
Chrome Operating System
29.46 cm (11.6 Inch) Display
1 Year Carry-in Warranty","₹16,298",41% off,"₹9,499"
ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1500CKA-NJ0393 C...,3.8,"2,691 Ratings ", 239 Reviews,"Intel Celeron Dual Core Processor
4 GB LPDDR4X RAM
Chrome Operating System
39.62 cm (15.6 Inch) Display
1 Year Onsite Warranty","₹32,990",51% off,"₹15,990"
Lenovo 100e Chromebook Gen 4 MediaTek MediaTek Kompanio 528 - (4 GB/64 GB EMMC Storage/Chrome OS) 82W0...,3.8,204 Ratings , 17 Reviews,"MediaTek MediaTek Kompanio 528 Processor
4 GB LPDDR4X RAM
Chrome Operating System
29.46 cm (11.6 Inch) Display
1 Year Carry-in Warranty","₹37,690",72% off,"₹10,499"
Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) A324-45 Thin and Light...,3.9,"2,639 Ratings ", 211 Reviews,"Intel Celeron Dual Core Processor
8 GB LPDDR4X RAM
Windows 11 Operating System
512 GB SSD
35.56 cm (14 Inch) Display
1 Year Carry-in Warranty","₹32,999",30% off,"₹22,990"
ASUS Vivobook Go 15 OLED AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK322...,4.4,"4,105 Ratings ", 450 Reviews,"AMD Ryzen 3 Quad Core Processor
8 GB LPDDR5 RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Onsite Warranty","₹61,990",43% off,"₹34,990"
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,3.9,"1,571 Ratings ", 169 Reviews,"Intel Celeron Dual Core Processor
8 GB DDR4 RAM
64 bit Windows 11 Home Operating System
512 GB SSD
29.46 cm (11.6 inch) Display
1 Year Warranty","₹35,999",50% off,"₹17,990"
